iter	Passed	Remaining
187	11017	47584
188	11074	47521
189	11133	47462
190	11193	47412
191	11253	47358
192	11312	47301
193	11375	47262
194	11433	47198
195	11490	47134
196	11549	47078
197	11607	47014
198	11664	46951
199	11722	46889
200	11777	46818
201	11835	46756
202	11892	46690
203	11957	46657
204	12016	46599
205	12073	46535
206	12134	46484
207	12199	46451
208	12279	46475
209	12354	46474
210	12411	46410
211	12469	46349
212	12527	46287
213	12586	46230
214	12657	46213
215	12715	46151
216	12773	46091
217	12835	46043
218	12898	45999
219	12961	45954
220	13018	45890
221	13077	45829
222	13136	45772
223	13205	45746
224	13272	45717
225	13337	45676
226	13397	45623
227	13456	45561
228	13513	45498
229	13569	45429
230	13630	45374
231	13693	45329
232	13754	45278
233	13817	45233
234	13889	45213
235	13952	45166
236	14010	45104
237	14068	45041
238	14131	44995
239	14192	44942
240	14253	44890
241	14319	44852
242	14396	44847
243	14458	44797
244	14517	44738
245	14579	44686
246	14645	44646
247	14707	44598
248	14770	44547
249	14832	44498
250	14901	44468
251	14962	44413
252	15024	44360
253	15080	44290
254	15137	44225
255	15201	44179
256	15261	44121
257	15320	44061
258	15382	44009
259	15442	43952
260	15500	43886
261	15556	43820
262	15618	43767
263	15681	43718
264	15745	43670
265	15805	43612
266	15861	43545
267	15918	43478
268	15977	43418
269	16038	43363
270	16095	43297
271	16159	43251
272	16215	43182
273	16276	43126
274	16335	43066
275	16392	42999
276	16449	42935
277	16512	42884
278	16586	42862
279	16648	42809
280	16709	42754
281	16770	42699
282	16826	42629
283	16881	42560
284	16936	42490
285	16996	42431
286	17054	42368
287	17108	42295
288	17167	42236
289	17225	42172
290	17280	42103
291	17334	42029
292	17397	41978
293	17452	41909
294	17514	41857
295	17579	41810
296	17641	41758
297	17711	41722
298	17778	41682
299	17843	41635
300	17904	41578
301	17962	41515
302	18025	41463
303	18086	41409
304	18147	41351
305	18207	41293
306	18263	41226
307	18318	41157
308	18375	41092
309	18431	41024
310	18490	40965
311	18551	40909
312	18617	40864
313	18676	40803
314	18737	40746
315	18794	40681
316	18848	40611
317	18902	40539
318	18954	40464
319	19012	40400
320	19075	40350
321	19157	40337
322	19218	40280
323	19275	40216
324	19332	40152
325	19390	40089
326	19449	40029
327	19522	39997
328	19598	39971
329	19657	39910
330	19714	39845
331	19773	39785
332	19832	39725
333	19889	39659
334	19948	39599
335	20015	39554
336	20077	39499
337	20148	39463
338	20211	39409
339	20274	39355
340	20334	39297
341	20438	39322
342	20505	39277
343	20574	39234
344	20647	39200
345	20710	39147
346	20772	39090
347	20837	39039
348	20911	39006
349	20976	38956
350	21040	38903
351	21125	38890
352	21185	38830
353	21245	38769
354	21302	38705
355	21369	38656
356	21432	38603
357	21500	38556
358	21588	38545
359	21669	38523
360	21733	38470
361	21800	38422
362	21867	38373
363	21929	38316
364	21992	38260
365	22057	38208
366	22120	38153
367	22183	38097
368	22247	38043
369	22309	37987
370	22370	37927
371	22439	37882
372	22505	37831
373	22571	37780
374	22630	37717
375	22685	37648
376	22740	37579
377	22795	37510
378	22867	37469
379	22930	37413
380	22990	37352
381	23049	37289
382	23105	37222
383	23160	37153
384	23213	37081
385	23269	37014
386	23329	36953
387	23417	36936
388	23479	36879
389	23539	36818
390	23599	36757
391	23654	36687
392	23707	36617
393	23768	36556
394	23826	36493
395	23884	36430
396	23941	36364
397	24000	36301
398	24058	36237
399	24113	36169
